County,X,Y,OBJECTID,PPIN,NAME,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,Census_Tract,GEOID,total_pop_estimate,white_estimate,black_estimate,native_american_estimate,asian_estimate,pacific_islander_estimate,other_race_estimate,two_or_more_estimate,med_inc_estimate,total_pop_moe,white_moe,black_moe,native_american_moe,asian_moe,pacific_islander_moe,other_race_moe,two_or_more_moe,med_inc_moe
East Baton Rouge Parish,-91.014651,30.41295,8867,A1902154,JONES CREEK ADVENTIST ACADEMY,4363 JONES CREEK RD,BATON ROUGE,LA,70817,22,22033,East Baton Rouge Parish,21,30.41295,-91.014651,12940,"Baton Rouge, LA",1,N,N,N,N,2206,22066,22016,2021-2022,22033004020,22033,454369,203084,205448,691,14103,0,10273,20770,62083,,1069,2578,250,609,33,1282,2789,1760
East Baton Rouge Parish,-91.176741,30.4376,8840,539085,ST FRANCIS XAVIER CATHOLIC SCHOOL,1150 S 12TH ST,BATON ROUGE,LA,70802,22,22033,East Baton Rouge Parish,12,30.4376,-91.176741,12940,"Baton Rouge, LA",1,N,N,N,N,2202,22067,22014,2021-2022,22033003703,22033,454369,203084,205448,691,14103,0,10273,20770,62083,,1069,2578,250,609,33,1282,2789,1760
East Baton Rouge Parish,-91.085001,30.38257,8869,A1990420,THE DUNHAM SCHOOL,11111 ROY EMERSON DR,BATON ROUGE,LA,70810,22,22033,East Baton Rouge Parish,21,30.38257,-91.085001,12940,"Baton Rouge, LA",1,N,N,N,N,2206,22068,22016,2021-2022,22033002300,22033,454369,203084,205448,691,14103,0,10273,20770,62083,,1069,2578,250,609,33,1282,2789,1760
East Baton Rouge Parish,-91.039731,30.65965,8860,A1101147,ZACHARY CHRISTIAN ACADEMY,11950 MILLDALE RD,ZACHARY,LA,70791,22,22033,East Baton Rouge Parish,41,30.65965,-91.039731,12940,"Baton Rouge, LA",1,N,N,N,N,2206,22064,22017,2021-2022,22033002602,22033,454369,203084,205448,691,14103,0,10273,20770,62083,,1069,2578,250,609,33,1282,2789,1760
East Baton Rouge Parish,-91.149593,30.49716,8866,A1902141,CRISTO REY BATON ROUGE FRANCISCAN HIGH SCHOOL,4000 S GEARD AVE,BATON ROUGE,LA,70805,22,22033,East Baton Rouge Parish,12,30.49716,-91.149593,12940,"Baton Rouge, LA",1,N,N,N,N,2202,22029,22014,2021-2022,22033004507,22033,454369,203084,205448,691,14103,0,10273,20770,62083,,1069,2578,250,609,33,1282,2789,1760
East Feliciana Parish,-91.009374,30.360568,8877,BB181291,CROSSPOINT BAPTIST CHURCH,14965 AIRLINE HWY,BATON ROUGE,LA,70817,22,22033,East Baton Rouge Parish,21,30.360568,-91.009374,12940,"Baton Rouge, LA",1,N,N,N,N,2206,22066,22006,2021-2022,22037951600,22037,19452,10650,7796,152,58,0,12,784,64709,,69,215,142,22,22,21,205,7398
East Feliciana Parish,-90.989051,30.41029,8879,Y2120358,ST MICHAEL THE ARCHANGEL HIGH SCHOOL,17521 MONITOR AVE,BATON ROUGE,LA,70817,22,22033,East Baton Rouge Parish,21,30.41029,-90.989051,12940,"Baton Rouge, LA",1,N,N,N,N,2206,22066,22006,2021-2022,22037951600,22037,19452,10650,7796,152,58,0,12,784,64709,,69,215,142,22,22,21,205,7398
Evangeline Parish,-91.020021,30.85885,8880,540749,SILLIMAN INSTITUTE,10830 BANK ST,CLINTON,LA,70722,22,22037,East Feliciana Parish,42,30.85885,-91.020021,12940,"Baton Rouge, LA",1,N,N,N,N,2205,22062,22017,2021-2022,22039950600,22039,32335,21415,8193,98,85,20,894,1630,34526,,440,403,76,58,32,442,418,3582
Iberia Parish,-91.773791,29.96449,8888,2160197,ACADIANA CHRISTIAN SCHOOL,4219 E ADMIRAL DOYLE DR,NEW IBERIA,LA,70560,22,22045,Iberia Parish,21,29.96449,-91.773791,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22049,22022,2021-2022,22045030700,22045,69958,41089,21827,119,1858,1,1121,3943,55190,,429,663,125,115,3,426,783,2319
Iberia Parish,-91.821701,30.00834,8887,2116851,EPIPHANY DAY SCHOOL,120 JEFFERSON ST,NEW IBERIA,LA,70560,22,22045,Iberia Parish,21,30.00834,-91.821701,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22096,22022,2021-2022,22045031302,22045,69958,41089,21827,119,1858,1,1121,3943,55190,,429,663,125,115,3,426,783,2319
Iberia Parish,-91.706257,32.15631,8883,542338,FRANKLIN ACADEMY,2110 LOOP RD,WINNSBORO,LA,71295,22,22041,Franklin Parish,32,32.15631,-91.706257,N,N,N,N,N,N,N,2205,22020,22032,2021-2022,22045031200,22045,69958,41089,21827,119,1858,1,1121,3943,55190,,429,663,125,115,3,426,783,2319
Iberia Parish,-91.735066,32.228657,8884,A1140010,FAMILY COMMUNITY CHRISTIAN SCHOOL,2023 HWY 15,WINNSBORO,LA,71295,22,22041,Franklin Parish,42,32.228657,-91.735066,N,N,N,N,N,N,N,2205,22020,22032,2021-2022,22045031000,22045,69958,41089,21827,119,1858,1,1121,3943,55190,,429,663,125,115,3,426,783,2319
Iberville Parish,-91.800126,30.00929,8889,A9701658,HIGHLAND BAPTIST CHRISTIAN SCHOOL,708 ANGERS ST,NEW IBERIA,LA,70563,22,22045,Iberia Parish,21,30.00929,-91.800126,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22048,22022,2021-2022,22047953101,22047,30210,14575,13717,22,11,29,305,1551,59410,,296,518,19,20,51,223,559,6240
Iberville Parish,-91.24122,30.275918,8890,A1101141,ST JOHN ELEMENTARY SCHOOL,58645 SAINT CLEMENT AVE,PLAQUEMINE,LA,70764,22,22047,Iberville Parish,21,30.275918,-91.24122,12940,"Baton Rouge, LA",1,N,N,N,N,2202,22060,22017,2021-2022,22047953101,22047,30210,14575,13717,22,11,29,305,1551,59410,,296,518,19,20,51,223,559,6240
Jefferson Davis Parish,-90.103781,29.89333,8928,Y0538208,ARCHBISHOP SHAW HIGH SCHOOL,1000 SALESIAN LN,MARRERO,LA,70072,22,22051,Jefferson Parish,21,29.89333,-90.103781,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22084,22003,2021-2022,22053000500,22053,32277,25034,5404,107,2,0,265,1465,52470,,236,254,107,3,30,139,426,5233
Jefferson Parish,-90.098571,29.8962,8915,A0501719,CONQUERING WORD CHRISTIN ACADEMY WESTBANK,812 AVE F,MARRERO,LA,70072,22,22051,Jefferson Parish,21,29.8962,-90.098571,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22084,22008,2021-2022,22051021200,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.237861,29.99984,8916,A0501737,ISLAMIC SCHOOL OF GREATER NEW ORLEANS,2420 ILLINOIS AVE,KENNER,LA,70062,22,22051,Jefferson Parish,21,29.99984,-90.237861,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22092,22010,2021-2022,22051027818,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.199644,29.982608,8910,541356,KEHOE-FRANCE SCHOOL,720 ELISE AVE,METAIRIE,LA,70003,22,22051,Jefferson Parish,12,29.982608,-90.199644,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22082,22010,2021-2022,22051029000,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.13167,29.982992,8909,541232,METAIRIE PARK COUNTRY DAY SCHOOL,300 PARK RD,METAIRIE,LA,70005,22,22051,Jefferson Parish,12,29.982992,-90.13167,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22082,22009,2021-2022,22051029100,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-91.242221,30.27498,8891,A9902127,ST JOHN INTERPAROCHIAL SCHOOL,24250 REGINA ST,PLAQUEMINE,LA,70764,22,22047,Iberville Parish,21,30.27498,-91.242221,12940,"Baton Rouge, LA",1,N,N,N,N,2202,22060,22017,2021-2022,22051026600,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.166041,30.01521,8925,A9701673,JEWISH COMMUNITY DAY SCHOOL,3747 W ESPLANADE AVE N,METAIRIE,LA,70002,22,22051,Jefferson Parish,12,30.01521,-90.166041,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22094,22009,2021-2022,22051028900,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.141987,29.907986,8921,A1701888,WEATHERFORD ACADEMY,613 4TH ST,WESTWEGO,LA,70094,22,22051,Jefferson Parish,21,29.907986,-90.141987,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22083,22008,2021-2022,22051027813,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.174591,30.01464,8896,538081,ST CLEMENT OF ROME SCHOOL,3978 W ESPLANADE AVE S,METAIRIE,LA,70002,22,22051,Jefferson Parish,12,30.01464,-90.174591,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22094,22009,2021-2022,22051029200,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.085071,29.87075,8917,A0501739,KNIGHTS ACADEMY & HIGH SCHOOL LLC,2059 BONN ST,HARVEY,LA,70058,22,22051,Jefferson Parish,21,29.87075,-90.085071,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22084,22008,2021-2022,22051025103,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.172231,30.00819,8907,540818,LUTHERAN HIGH SCHOOL OF GREATER NEW ORLEANS,3864 17TH ST,METAIRIE,LA,70002,22,22051,Jefferson Parish,12,30.00819,-90.172231,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22094,22009,2021-2022,22051024001,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.029951,29.86754,8923,A9102946,ARDEN CAHILL ACADEMY,3101 WALL BLVD,GRETNA,LA,70056,22,22051,Jefferson Parish,21,29.86754,-90.029951,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22105,22008,2021-2022,22051025202,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.124031,30.0174,8894,538037,ST LOUIS KING OF FRANCE SCHOOL,1600 LAKE AVE,METAIRIE,LA,70005,22,22051,Jefferson Parish,12,30.0174,-90.124031,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22094,22009,2021-2022,22051023004,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.159301,29.99001,8927,X0538172,ARCHBISHOP RUMMEL HIGH SCHOOL,1901 SEVERN AVE,METAIRIE,LA,70001,22,22051,Jefferson Parish,12,29.99001,-90.159301,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22080,22009,2021-2022,22051026700,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.222571,30.00354,8899,538183,ARCHBISHOP CHAPELLE HIGH SCHOOL,8800 VETERANS MEMORIAL BLVD,METAIRIE,LA,70003,22,22051,Jefferson Parish,12,30.00354,-90.222571,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22078,22010,2021-2022,22051027703,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.187141,29.98353,8895,538059,ST EDWARD THE CONFESSOR SCHOOL,4901 W METAIRIE AVE,METAIRIE,LA,70001,22,22051,Jefferson Parish,12,29.98353,-90.187141,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22080,22009,2021-2022,22051020206,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.045081,29.884474,8905,538547,ST CLETUS ELEMENTARY SCHOOL,3610 CLAIRE AVE,GRETNA,LA,70053,22,22051,Jefferson Parish,21,29.884474,-90.045081,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22085,22007,2021-2022,22051021500,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.194421,30.00904,8898,538128,ST ANN CATHOLIC ELEMENTARY SCHOOL,4921 MEADOWDALE ST,METAIRIE,LA,70006,22,22051,Jefferson Parish,12,30.00904,-90.194421,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22080,22009,2021-2022,22051021300,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.205121,30.00722,8913,2029185,MEMORIAL BAPTIST SCHOOL,5701 VETERANS MEMORIAL BLVD,METAIRIE,LA,70003,22,22051,Jefferson Parish,12,30.00722,-90.205121,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22078,22010,2021-2022,22051023300,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.203101,30.01706,8920,A1101145,SLATER TORAH ACADEMY,5210 W ESPLANADE AVE,METAIRIE,LA,70006,22,22051,Jefferson Parish,12,30.01706,-90.203101,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22079,22009,2021-2022,22051027200,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.030461,29.90536,8924,A9501990,STEPPING STONES MONTESSORI,552 TERRY PKWY,TERRYTOWN,LA,70056,22,22051,Jefferson Parish,21,29.90536,-90.030461,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22085,22008,2021-2022,22051020204,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.173141,29.97621,8911,541662,RIDGEWOOD PREPARATORY SCHOOL,201 PASADENA AVE,METAIRIE,LA,70001,22,22051,Jefferson Parish,12,29.97621,-90.173141,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22080,22009,2021-2022,22051027000,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.217491,30.00871,8906,540691,ATONEMENT LUTHERAN SCHOOL,6500 RIVERSIDE DR,METAIRIE,LA,70003,22,22051,Jefferson Parish,12,30.00871,-90.217491,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22078,22010,2021-2022,22051020206,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.029551,29.87872,8918,A0701067,MUSLIM ACADEMY,440 REALTY DR,GRETNA,LA,70056,22,22051,Jefferson Parish,21,29.87872,-90.029551,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22105,22008,2021-2022,22051020304,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.204601,30.0206,8919,A1101130,GREATER NEW ORLEANS CHRISTIAN ACADEMY,5220 IRVING ST,METAIRIE,LA,70006,22,22051,Jefferson Parish,12,30.0206,-90.204601,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2201,22079,22009,2021-2022,22051030200,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.084871,29.90328,8904,538478,ST ROSALIE ELEMENTARY SCHOOL,617 2ND AVE,HARVEY,LA,70058,22,22051,Jefferson Parish,21,29.90328,-90.084871,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22084,22008,2021-2022,22051025400,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Jefferson Parish,-90.109751,29.85343,8900,538194,VISITATION OF OUR LADY SCHOOL,3520 AMES BLVD,MARRERO,LA,70072,22,22051,Jefferson Parish,21,29.85343,-90.109751,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22083,22008,2021-2022,22051024002,22051,436171,245470,117131,1857,18127,100,20878,32608,63257,,2221,1343,541,671,49,2029,2458,1592
Lafayette Parish,-91.965921,30.14924,8930,539722,ST CECILIA SCHOOL,302 W MAIN ST,BROUSSARD,LA,70518,22,22055,Lafayette Parish,21,30.14924,-91.965921,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22043,22023,2021-2022,22055000800,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.6498,30.23448,8929,1922964,OUR LADY IMMACULATE SCHOOL,600 ROBERTS AVE,JENNINGS,LA,70546,22,22053,Jefferson Davis Parish,32,30.23448,-92.6498,27660,"Jennings, LA",2,324,"Lake Charles-Jennings, LA",N,N,2203,22037,22025,2021-2022,22055002101,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.023521,30.22409,8932,539868,CATHEDRAL-CARMEL SCHOOL,848 SAINT JOHN ST,LAFAYETTE,LA,70501,22,22055,Lafayette Parish,12,30.22409,-92.023521,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22044,22023,2021-2022,22055000100,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.051161,30.31845,8931,539733,CARENCRO CATHOLIC SCHOOL,200 W SAINT PETER ST,CARENCRO,LA,70520,22,22055,Lafayette Parish,21,30.31845,-92.051161,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22039,22024,2021-2022,22055001425,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-91.989841,30.24034,8935,539981,TEURLINGS CATHOLIC HIGH SCHOOL,139 TEURLINGS DR,LAFAYETTE,LA,70501,22,22055,Lafayette Parish,12,30.24034,-91.989841,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22096,22024,2021-2022,22055001428,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.012209,30.257104,8934,539959,STS LEO-SETON CATHOLIC SCHOOL,502 SAINT LEO ST,LAFAYETTE,LA,70501,22,22055,Lafayette Parish,12,30.257104,-92.012209,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22044,22024,2021-2022,22055001201,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.03165,30.255752,8941,A1701875,LAFAYETTE CHRISTIAN ACADEMY,220 PORTLAND AVE,LAFAYETTE,LA,70507,22,22055,Lafayette Parish,12,30.255752,-92.03165,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22044,22024,2021-2022,22055001908,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.017088,30.102962,8936,1650193,ASCENSION EPISCOPAL SCHOOL,1800 CHEMIN METAIRIE PKWY,YOUNGSVILLE,LA,70592,22,22055,Lafayette Parish,21,30.102962,-92.017088,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22043,22023,2021-2022,22055001403,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.090151,30.23099,8940,A1101143,STS PETER & PAUL CATHOLIC ELEMENTARY SCHOOL,1301 OLD SPANISH TRL,SCOTT,LA,70583,22,22055,Lafayette Parish,21,30.23099,-92.090151,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22039,22026,2021-2022,22055001001,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.003971,30.22001,8938,1923163,GETHSEMANE CHRISTIAN ACADEMY,701 E PINHOOK RD,LAFAYETTE,LA,70501,22,22055,Lafayette Parish,12,30.22001,-92.003971,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22044,22024,2021-2022,22055001408,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.004226,30.198494,8939,1923254,EPISCOPAL SCHOOL OF ACADIANA,721 KALISTE SALOOM RD,LAFAYETTE,LA,70508,22,22055,Lafayette Parish,12,30.198494,-92.004226,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22043,22023,2021-2022,22055001415,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.067277,30.134324,8942,A1902191,WESTMINSTER CHRISTIAN ACADEMY LAFAYETTE CAMPUS,111 GOSHEN LN,LAFAYETTE,LA,70508,22,22055,Lafayette Parish,12,30.134324,-92.067277,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22031,22023,2021-2022,22055001802,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.055627,30.200796,8943,A2101883,REACH INSTITUTE,100 FELICIE DR,LAFAYETTE,LA,70506,22,22055,Lafayette Parish,12,30.200796,-92.055627,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22045,22023,2021-2022,22055000200,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafayette Parish,-92.040881,30.14575,8937,1922793,ST THOMAS MORE CATHOLIC HIGH SCHOOL,450 E FARREL RD,LAFAYETTE,LA,70508,22,22055,Lafayette Parish,12,30.14575,-92.040881,29180,"Lafayette, LA",1,318,"Lafayette-Opelousas-Morgan City, LA",N,N,2203,22043,22023,2021-2022,22055000200,22055,243175,160322,62497,283,4485,118,2900,12570,66617,,889,945,99,313,146,779,1276,2192
Lafourche Parish,-90.802886,29.776776,8949,A1902145,ELEARNING ACADEMY,806 N ACADIA RD,THIBODAUX,LA,70301,22,22057,Lafourche Parish,13,29.776776,-90.802886,26380,"Houma-Thibodaux, LA",1,N,N,N,N,2206,22055,22020,2021-2022,22057021902,22057,97220,75654,12950,2046,604,2,1067,4897,61381,,445,658,366,163,4,371,712,4953
Lafourche Parish,-90.627541,29.73235,8948,540454,ST MARY'S NATIVITY SCHOOL,3492 NIES ST,RACELAND,LA,70394,22,22057,Lafourche Parish,41,29.73235,-90.627541,26380,"Houma-Thibodaux, LA",1,N,N,N,N,2201,22054,22019,2021-2022,22057020202,22057,97220,75654,12950,2046,604,2,1067,4897,61381,,445,658,366,163,4,371,712,4953
LaSalle Parish,-90.811261,29.79219,8950,X0540476,E.D. WHITE CATHOLIC HIGH SCHOOL,555 CARDINAL DR,THIBODAUX,LA,70301,22,22057,Lafourche Parish,13,29.79219,-90.811261,26380,"Houma-Thibodaux, LA",1,N,N,N,N,2206,22055,22021,2021-2022,22059970200,22059,14764,12166,1732,58,278,82,78,370,59926,,138,268,59,225,61,91,156,9117
Lincoln Parish,-92.619305,32.555142,8952,540636,CEDAR CREEK SCHOOL,2400 CEDAR CREEK DR,RUSTON,LA,71270,22,22061,Lincoln Parish,32,32.555142,-92.619305,40820,"Ruston, LA",2,384,"Monroe-Ruston, LA",N,N,2205,22012,22035,2021-2022,22061960800,22061,48323,26152,18095,263,670,32,625,2486,37001,,374,581,206,76,46,383,605,3309
Livingston Parish,-92.646351,32.54109,8954,K9302553,MONTESSORI SCHOOL OF RUSTON,700 WOODWARD AVE,RUSTON,LA,71270,22,22061,Lincoln Parish,32,32.54109,-92.646351,40820,"Ruston, LA",2,384,"Monroe-Ruston, LA",N,N,2205,22012,22035,2021-2022,22063040805,22063,143425,123496,10684,449,1185,1,2167,5443,77978,,828,595,415,183,2,725,1092,4335
Livingston Parish,-90.926656,30.459484,8955,A1101140,OPEN DOOR CHRISTIAN ACADEMY,7000 GLORYLAND WAY,DENHAM SPRINGS,LA,70726,22,22063,Livingston Parish,21,30.459484,-90.926656,12940,"Baton Rouge, LA",1,N,N,N,N,2206,22071,22013,2021-2022,22063040503,22063,143425,123496,10684,449,1185,1,2167,5443,77978,,828,595,415,183,2,725,1092,4335
Madison Parish,-91.878551,32.779935,8958,541607,PRAIRIE VIEW ACADEMY,9942 EDWIN ST,BASTROP,LA,71220,22,22067,Morehouse Parish,41,32.779935,-91.878551,33740,"Monroe, LA",1,384,"Monroe-Ruston, LA",N,N,2205,22016,22033,2021-2022,22065960100,22065,10028,3439,6265,17,0,0,59,248,34508,,54,55,16,22,22,72,105,6612
Natchitoches Parish,-91.179975,32.398182,8957,2160233,TALLULAH ACADEMY,700 WOOD ST,TALLULAH,LA,71282,22,22065,Madison Parish,33,32.398182,-91.179975,N,N,N,N,N,N,N,2205,22019,22034,2021-2022,22069000500,22069,37478,19170,15269,281,238,0,1042,1478,41310,,315,260,74,84,30,294,339,2062
Orleans Parish,-90.101201,29.92105,8971,540603,ST GEORGES EPISCOPAL SCHOOL,923 NAPOLEON AVE,NEW ORLEANS,LA,70115,22,22071,Orleans Parish,11,29.92105,-90.101201,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22091,22005,2021-2022,22071001755,22071,380408,123390,216866,818,10680,61,8407,20186,51116,,880,1373,226,275,38,1192,1424,1705
Orleans Parish,-90.099721,29.92025,8979,A0501722,ECOLE BILINGUE DE LA NOUVELLE ORLEANS,821 GENERAL PERSHING ST,NEW ORLEANS,LA,70115,22,22071,Orleans Parish,11,29.92025,-90.099721,35380,"New Orleans-Metairie, LA",1,406,"New Orleans-Metairie-Hammond, LA-MS",N,N,2202,22098,22005,2021-2022,22071000901,22071,380408,123390,216866,818,10680,61,8407,20186,51116,,880,1373,226,275,38,1192,1424,1705
