"County","State","X.x","Unnamed..0","total_popE","total_popM","whiteE","whiteM","blackE","blackM","native_americanE","native_americanM","asianE","asianM","pacific_islanderE","pacific_islanderM","other_raceE","other_raceM","two_or_moreE","two_or_moreM","med_incE","med_incM","hispanicE","hispanicM","poverty_incomeE","poverty_incomeM","poverty_totalE","poverty_totalM","number_of_schools","schools_per_capita","schools_per_10000","considered_low_income","poverty_rate","X.y","GEOID","bachelors_educationE","bachelors_educationM","masters_educationE","masters_educationM"
"Maries County","Missouri",903,9001,8454,NA,8029,71,28,31,91,65,16,26,0,17,25,21,265,112,56491,6166,155,NA,1463,394,8388,3,1,0.0001182872013248,1.18287201324817,52736,17.4415832141154,1547,29125,90,60,149,71
"Marin County","California",134,1925,260485,NA,192209,1610,6224,682,1131,414,16403,696,430,113,20727,1902,23361,1566,142019,4098,43143,NA,17809,1545,255793,264,27,0.0001036528015048,1.03652801504885,73524,6.96227027322874,207,6041,12353,918,2956,461
"Marinette County","Wisconsin",1853,17188,41827,NA,39938,109,189,78,149,63,145,32,2,5,213,62,1191,124,60347,2433,919,NA,3939,575,40810,156,2,4.78160040165443e-05,0.478160040165443,57966.4,9.65204606714041,3086,55075,1113,200,206,85
"Marion County","Florida",210,3163,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,26,0.0034629728289824,34.6297282898242,54333.6,12.3833986751386,362,12083,12202,1058,2657,551
"Marion County","Illinois",463,6088,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,1,0.0001331912626531,1.3319126265317,62746.4,12.3833986751386,657,17121,1072,181,129,51
"Marion County","Indiana",475,6230,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,48,0.0063931806073521,63.9318060735216,53738.4,12.3833986751386,747,18097,43008,2237,14324,1227
"Marion County","Iowa",382,5380,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,2,0.0002663825253063,2.6638252530634,56456.8,12.3833986751386,853,19125,1951,183,325,125
"Marion County","Kentucky",613,6897,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,1,0.0001331912626531,1.3319126265317,48146.4,12.3833986751386,1072,21155,511,156,92,60
"Marion County","Mississippi",947,9111,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,1,0.0001331912626531,1.3319126265317,42388,12.3833986751386,1448,28091,717,244,84,56
"Marion County","Missouri",868,8795,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,1,0.0001331912626531,1.3319126265317,52736,12.3833986751386,1548,29127,1204,170,137,73
"Marion County","Ohio",1302,12553,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,1,0.0001331912626531,1.3319126265317,53592,12.3833986751386,2095,39101,2390,381,370,142
"Marion County","Oregon",1338,12726,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,13,0.0017314864144912,17.3148641449121,61305.6,12.3833986751386,2233,41047,14675,966,2403,400
"Marion County","South Carolina",1458,14392,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,1,0.0001331912626531,1.3319126265317,50898.4,12.3833986751386,2351,45067,996,306,86,68
"Marion County","Tennessee",1534,14641,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,1,0.0001331912626531,1.3319126265317,51228,12.3833986751386,2487,47115,867,215,267,158
"Marion County","Texas",1631,15447,7508,NA,4474,117,2234,164,49,52,108,134,0,20,451,121,192,116,48836,7714,622,NA,916,302,7397,23,1,0.0001331912626531,1.3319126265317,58428,12.3833986751386,2682,48315,152,95,0,21
"Mariposa County","California",111,833,17130,NA,14043,325,140,88,276,159,230,83,62,78,844,327,1535,357,60021,5293,2223,NA,2712,513,16960,71,1,5.83771161704612e-05,0.583771161704612,73524,15.9905660377358,208,6043,447,173,151,115
"Marlboro County","South Carolina",1466,14431,26585,NA,10416,145,13133,355,966,146,81,79,0,25,578,229,1411,392,34275,3166,917,NA,6733,881,24198,83,1,3.76151965394019e-05,0.376151965394019,50898.4,27.8246136044301,2352,45069,609,206,86,63
"Marquette County","Michigan",779,8465,66376,NA,61014,161,1059,117,761,160,438,124,18,18,153,92,2933,279,63115,2533,1126,NA,8535,808,62919,130,1,1.5065686392672e-05,0.15065686392672,54804,13.5650598388404,1284,26103,6198,455,1021,289
"Marquette County","Wisconsin",1871,17399,66376,NA,61014,161,1059,117,761,160,438,124,18,18,153,92,2933,279,63115,2533,1126,NA,8535,808,62919,130,1,1.5065686392672e-05,0.15065686392672,57966.4,13.5650598388404,3087,55077,303,62,48,13
"Marshall County","Indiana",520,6471,33980,NA,16200,258,15498,275,176,218,40,61,10,22,998,289,1058,340,51431,7450,1452,NA,6181,1081,31676,213,9,0.0002648616833431,2.64861683343143,53738.4,19.51319611062,748,18099,1792,380,276,111
"Marshall County","Kansas",545,6674,33980,NA,16200,258,15498,275,176,218,40,61,10,22,998,289,1058,340,51431,7450,1452,NA,6181,1081,31676,213,1,2.94290759270159e-05,0.294290759270159,55797.6,19.51319611062,948,20117,118,53,76,51
"Marshall County","Mississippi",942,9099,33980,NA,16200,258,15498,275,176,218,40,61,10,22,998,289,1058,340,51431,7450,1452,NA,6181,1081,31676,213,1,2.94290759270159e-05,0.294290759270159,42388,19.51319611062,1449,28093,1797,299,145,102
"Martin County","Florida",235,4011,21992,NA,11503,206,9171,158,18,27,125,30,21,36,229,176,925,262,44799,2852,959,NA,4425,557,21573,206,5,0.0002273554019643,2.27355401964351,54333.6,20.5117507996106,363,12085,5562,678,1321,361
"Martin County","Minnesota",834,8660,21992,NA,11503,206,9171,158,18,27,125,30,21,36,229,176,925,262,44799,2852,959,NA,4425,557,21573,206,1,4.54710803928701e-05,0.454710803928701,67450.4,20.5117507996106,1361,27091,403,115,53,25
"Mason County","Michigan",757,8269,17068,NA,15028,16,1156,177,86,121,95,70,16,29,96,103,591,223,48460,3700,375,NA,3142,485,16767,44,1,5.85891727208812e-05,0.585891727208812,54804,18.739190075744,1285,26105,740,147,123,51
"Mason County","Washington",1803,16771,17068,NA,15028,16,1156,177,86,121,95,70,16,29,96,103,591,223,48460,3700,375,NA,3142,485,16767,44,2,0.0001171783454417,1.17178345441762,72260,18.739190075744,2977,53045,1789,352,531,206
"Mason County","West Virginia",1898,17493,17068,NA,15028,16,1156,177,86,121,95,70,16,29,96,103,591,223,48460,3700,375,NA,3142,485,16767,44,1,5.85891727208812e-05,0.585891727208812,44173.6,18.739190075744,3020,54053,537,161,159,114
"Matagorda County","Texas",1636,15519,36251,NA,20954,1207,3574,235,60,53,628,57,80,72,6637,1127,4318,1100,56412,3540,16025,NA,7798,1241,35830,103,1,2.75854459187333e-05,0.275854459187333,58428,21.7638850125593,2685,48321,1202,358,447,235
"Matanuska-Susitna Borough","Alaska",5,6,108661,NA,86055,451,1392,140,6743,510,1956,184,464,110,1449,312,10602,639,86435,2503,6074,NA,10810,854,105794,228,2,1.84058677906517e-05,0.184058677906517,69096,10.2179707733898,85,2170,3477,299,841,147
"Maui County","Hawaii",335,5200,164765,21,52341,723,1236,193,630,177,46725,1592,17593,774,3479,935,42761,2141,95379,3268,19580,11,15120,1301,162939,343,15,9.10387521621704e-05,0.910387521621704,75851.2,9.27954633329037,552,15009,4088,478,1322,290
"Maury County","Tennessee",1528,14608,102002,NA,82838,600,11082,609,329,212,890,144,8,13,744,435,6111,845,71500,3394,6747,NA,8938,1042,100691,249,7,6.86261053704829e-05,0.686261053704829,51228,8.87666226375744,2489,47119,2201,392,556,240
"Maverick County","Texas",1635,15502,57806,NA,30045,2231,84,106,1244,304,168,182,0,35,5311,1162,20954,2164,48497,4896,54949,NA,13473,1843,57490,67,3,5.18977268795627e-05,0.518977268795627,58428,23.4353800660985,2686,48323,2198,439,231,127
"Mayes County","Oklahoma",1319,12641,39324,NA,25142,211,150,56,8378,427,185,43,32,8,327,108,5110,488,56552,2831,1565,NA,6599,579,38694,154,1,2.54297629946089e-05,0.254297629946089,49091.2,17.0543236677521,2181,40097,1012,196,219,82
"McCook County","South Dakota",1484,14508,5714,NA,5443,65,15,28,63,53,0,15,0,15,46,38,147,31,74873,6538,253,NA,464,149,5552,18,1,0.0001750087504375,1.75008750437522,55565.6,8.35734870317003,2406,46087,114,46,31,17
"McCracken County","Kentucky",580,6767,67573,NA,56261,254,7077,353,153,78,658,93,8,16,357,157,3059,471,58490,2974,1882,NA,10045,956,66209,136,1,1.47988101756619e-05,0.147988101756619,48146.4,15.1716534005951,1067,21145,2478,351,315,136
"McDonough County","Illinois",441,5704,27370,NA,24124,181,1463,141,4,11,685,61,7,15,182,113,905,217,48904,3294,824,NA,4887,540,24691,56,2,7.30727073438071e-05,0.730727073438071,62746.4,19.7926369932364,651,17109,4200,323,580,191
"McDowell County","North Carolina",1002,9287,18911,NA,15509,108,2685,319,31,36,29,34,0,20,3,6,654,259,28235,3566,386,212,5653,919,16992,18,1,5.2879276611496e-05,0.52879276611496,52948.8,33.2685969868173,1947,37111,1348,302,221,100
"McHenry County","Illinois",433,5625,5326,NA,5087,36,39,15,26,22,40,33,0,15,5,5,129,43,78071,5544,76,49,540,114,5252,14,9,0.0016898235073225,16.8982350732257,62746.4,10.2817974105103,652,17111,13407,878,3375,449
"McKean County","Pennsylvania",1401,13255,40459,NA,38007,182,823,77,15,15,172,64,2,5,313,127,1127,181,57861,2748,872,NA,5343,712,37789,97,4,9.88655181788972e-05,0.988655181788972,58536,14.1390351689645,2287,42083,1713,151,252,71
"McKenzie County","North Dakota",1080,9728,14081,NA,11236,309,303,53,1507,241,78,43,0,16,200,127,757,314,83813,3433,1488,NA,1856,383,13865,78,1,7.10176834031674e-05,0.710176834031674,59167.2,13.386224305806,2018,38053,642,287,211,150
"McKinley County","New Mexico",1159,10656,72073,NA,7477,468,386,95,55049,975,958,121,56,45,4070,813,4077,862,44029,2840,10559,NA,23950,1709,71320,182,6,8.32489281700498e-05,0.832489281700498,46977.6,33.5810431856422,1814,35031,2541,352,468,144
"McLean County","Illinois",422,5562,171284,NA,138660,713,14542,423,312,111,8684,296,27,28,1812,398,7247,759,75356,2591,9103,NA,23023,1316,162607,210,3,1.75147707900329e-05,0.175147707900329,62746.4,14.1586770557233,653,17113,23211,920,2651,566
"McLennan County","Texas",1576,14932,261090,NA,177338,2210,36801,815,1282,506,4066,255,143,150,8415,1200,33045,2281,59781,1910,70710,NA,44851,2913,250840,325,9,3.44708721130645e-05,0.344708721130644,58428,17.8803221176846,2679,48309,22733,1227,4642,709
"McLeod County","Minnesota",818,8575,36727,NA,33844,390,209,91,98,90,255,58,22,22,907,360,1392,345,73296,4073,2542,NA,2587,426,36326,55,3,8.16837748795164e-05,0.816837748795164,67450.4,7.12162087760832,1358,27085,975,209,261,90
"McMinn County","Tennessee",1492,14528,53532,NA,48210,493,1864,253,59,42,421,38,0,32,444,264,2534,449,57982,5006,2421,NA,7109,1042,52123,136,3,5.6041246357319e-05,0.56041246357319,51228,13.6388926193811,2483,47107,1732,245,176,101
"Mecklenburg County","North Carolina",1009,9302,1115403,NA,539668,2865,349308,3148,3862,733,69559,1198,345,130,76272,3980,76389,4820,79265,1263,155481,NA,115796,4570,1098264,1264,57,5.11026059639431e-05,0.511026059639431,52948.8,10.5435487278104,1951,37119,54941,1932,16176,1242
"Mecklenburg County","Virginia",1727,16207,1115403,NA,539668,2865,349308,3148,3862,733,69559,1198,345,130,76272,3980,76389,4820,79265,1263,155481,NA,115796,4570,1098264,1264,3,2.68961084020753e-06,0.0268961084020753,69799.2,10.5435487278104,2879,51117,716,169,140,84
"Medina County","Ohio",1246,11885,51432,NA,35904,1324,1285,347,301,184,482,239,0,35,3398,766,10062,1260,73060,2954,27313,NA,5045,965,49103,181,6,0.0001166588894073,1.16658889407373,53592,10.2743213245627,2096,39103,6530,544,1722,329
"Medina County","Texas",1648,15696,51432,NA,35904,1324,1285,347,301,184,482,239,0,35,3398,766,10062,1260,73060,2954,27313,NA,5045,965,49103,181,1,1.94431482345621e-05,0.194431482345621,58428,10.2743213245627,2687,48325,1903,415,385,155
"Meeker County","Minnesota",837,8681,23352,NA,22154,154,75,56,80,82,49,14,0,17,469,145,525,74,75926,2837,998,NA,1736,234,22968,50,2,8.56457690990065e-05,0.856457690990065,67450.4,7.55834204110066,1362,27093,662,117,94,45
"Mendocino County","California",140,2218,91145,NA,67114,1504,658,302,3500,445,1961,177,86,63,6600,1097,11226,1256,61335,2198,24414,NA,14483,1468,89649,231,4,4.38861155301991e-05,0.438861155301991,73524,16.1552276099008,209,6045,3585,553,883,278
"Menominee County","Michigan",741,8147,23433,NA,21890,90,120,46,508,84,89,16,0,20,66,40,760,126,54074,2913,499,NA,2464,273,22912,158,2,8.53497204796654e-05,0.853497204796654,54804,10.7541899441341,1287,26109,577,123,160,83
"Merced County","California",103,645,282290,NA,117491,3102,8329,483,3311,850,20601,606,796,89,104067,3636,27695,2443,64772,2142,174732,NA,51272,3325,276803,366,7,2.47971943745793e-05,0.247971943745793,73524,18.5229206330856,210,6047,19283,1063,2130,375
"Mercer County","Missouri",855,8758,383732,NA,206314,2557,75624,1327,1020,369,46762,548,99,66,26949,2588,26964,2562,92697,2156,73707,NA,41079,2959,365993,373,1,2.60598542732949e-06,0.0260598542732949,52736,11.2239851581861,1549,29129,85,38,15,13
"Mercer County","New Jersey",1130,9955,383732,NA,206314,2557,75624,1327,1020,369,46762,548,99,66,26949,2588,26964,2562,92697,2156,73707,NA,41079,2959,365993,373,37,9.64214608111911e-05,0.964214608111911,77700.8,11.2239851581861,1786,34021,27788,1073,6898,757
"Mercer County","Pennsylvania",1402,13291,383732,NA,206314,2557,75624,1327,1020,369,46762,548,99,66,26949,2588,26964,2562,92697,2156,73707,NA,41079,2959,365993,373,11,2.86658397006244e-05,0.286658397006244,58536,11.2239851581861,2288,42085,6088,322,751,162
"Merrick County","Nebraska",1113,9811,7675,NA,7128,78,5,9,26,26,127,32,0,15,131,86,258,81,57873,5913,412,NA,772,206,7536,17,1,0.0001302931596091,1.30293159609121,57377.6,10.244161358811,1716,31121,244,74,49,35
"Merrimack County","New Hampshire",1124,9864,153918,NA,141787,394,2451,269,407,176,2986,327,31,31,799,263,5457,527,88806,2398,3802,NA,10722,1021,147941,132,14,9.09575228368352e-05,0.909575228368352,72676,7.24748379421526,1772,33013,7624,673,1914,285
"Mesa County","Colorado",166,2643,156131,NA,135709,1280,1111,236,1209,355,1562,278,60,61,2844,583,13636,1357,68077,2075,23635,NA,17446,1737,152255,473,4,2.56195118202023e-05,0.256195118202023,70078.4,11.4584085908509,284,8077,8292,712,1200,304
"Miami County","Kansas",534,6643,108818,NA,99955,349,2198,366,119,79,1790,183,10,17,482,229,4264,518,71440,2272,2101,NA,9102,1486,107625,138,2,1.83793122461357e-05,0.183793122461357,55797.6,8.45714285714286,950,20121,1194,211,360,130
"Miami County","Ohio",1270,12022,108818,NA,99955,349,2198,366,119,79,1790,183,10,17,482,229,4264,518,71440,2272,2101,NA,9102,1486,107625,138,5,4.59482806153394e-05,0.459482806153394,53592,8.45714285714286,2099,39109,3992,485,779,255
"Miami-Dade County","Florida",187,3030,2688237,NA,1259156,10841,426417,3204,6450,1419,41646,947,544,194,170507,6029,783517,11068,64215,717,1848739,NA,403997,9873,2647752,1234,362,0.0001346607460577,1.34660746057732,54333.6,15.25811329762,364,12086,156694,3054,42863,1949
"Middlesex County","Massachusetts",662,7122,860147,NA,411593,3614,87996,1489,5087,982,214701,1613,352,79,74810,4071,65608,3077,105206,1538,191469,NA,69626,3783,833382,590,101,0.0001174217895313,1.17421789531324,77204,8.35463208948597,1227,25017,93027,2082,46670,1843
"Middlesex County","New Jersey",1129,9954,860147,NA,411593,3614,87996,1489,5087,982,214701,1613,352,79,74810,4071,65608,3077,105206,1538,191469,NA,69626,3783,833382,590,44,5.11540469245373e-05,0.511540469245373,77700.8,8.35463208948597,1787,34023,59417,1481,15647,964
"Middlesex County","Virginia",1705,16091,860147,NA,411593,3614,87996,1489,5087,982,214701,1613,352,79,74810,4071,65608,3077,105206,1538,191469,NA,69626,3783,833382,590,1,1.16259197555767e-06,0.0116259197555766,69799.2,8.35463208948597,2880,51119,355,120,54,43
"Midland County","Michigan",725,8098,169393,NA,111121,3379,11578,970,959,336,3311,355,47,56,18424,2633,23953,2994,90123,5223,79727,NA,18020,2470,167587,347,4,2.36137266593071e-05,0.23613726659307,54804,10.7526240102156,1288,26111,3672,339,852,165
"Midland County","Texas",1618,15331,169393,NA,111121,3379,11578,970,959,336,3311,355,47,56,18424,2633,23953,2994,90123,5223,79727,NA,18020,2470,167587,347,10,5.90343166482676e-05,0.590343166482676,58428,10.7526240102156,2689,48329,6947,1231,1717,427
"Mifflin County","Pennsylvania",1369,12925,46146,NA,43747,322,285,84,80,41,143,98,26,38,262,145,1603,416,58012,1989,825,NA,7571,1074,45396,71,37,0.0008018029731721,8.01802973172106,58536,16.6776808529386,2289,42087,912,201,236,108
"Milam County","Texas",1592,15048,25080,NA,18807,594,2687,252,47,39,89,72,39,67,1307,406,2104,560,56985,3374,6838,NA,3505,754,24558,26,2,7.97448165869218e-05,0.797448165869219,58428,14.2723348806906,2690,48331,1081,281,104,75
"Miller County","Arkansas",78,317,24855,NA,23797,113,260,75,36,30,111,63,14,25,119,95,518,112,53490,5008,530,NA,3906,691,24462,58,1,4.02333534500101e-05,0.4023335345001,45068,15.9676232523915,157,5091,1130,270,325,149
"Miller County","Missouri",872,8822,24855,NA,23797,113,260,75,36,30,111,63,14,25,119,95,518,112,53490,5008,530,NA,3906,691,24462,58,1,4.02333534500101e-05,0.4023335345001,52736,15.9676232523915,1550,29131,452,121,65,44
"Milwaukee County","Wisconsin",1820,17027,933063,NA,506296,2208,243518,1770,5188,642,43166,899,262,63,53105,2675,81528,3389,59319,810,150011,NA,162787,4762,913393,775,82,8.78825974237538e-05,0.878825974237538,57966.4,17.8222298616258,3089,55079,47009,1438,14402,952
"Mingo County","West Virginia",1893,17473,23466,NA,22462,93,584,124,0,24,30,44,0,24,19,37,371,102,38305,4273,64,69,6679,912,23338,71,1,4.26148470126992e-05,0.426148470126992,44173.6,28.6185620018853,3023,54059,798,220,53,39
"Minidoka County","Idaho",407,5486,21626,NA,16509,841,21,30,296,164,30,34,0,24,2490,624,2280,631,63594,2760,7739,NA,3229,651,21403,131,1,4.62406362711551e-05,0.462406362711551,56171.2,15.0866700929776,586,16067,662,232,17,28
"Minnehaha County","South Dakota",1468,14476,197742,NA,162678,931,12350,640,3978,521,3741,350,85,74,2875,683,12035,1113,73110,2270,11009,NA,16775,1564,192729,272,8,4.04567567840924e-05,0.404567567840924,55565.6,8.70393142702966,2412,46099,7898,782,2115,386
"Missaukee County","Michigan",722,8090,15089,NA,14117,145,73,31,42,27,64,52,0,17,163,93,630,171,57667,3809,489,NA,1676,250,14959,16,1,6.62734442308967e-05,0.662734442308967,54804,11.203957483789,1289,26113,307,60,67,24
"Missoula County","Montana",966,9182,118541,NA,105605,640,744,169,2477,472,2142,269,113,38,1145,424,6315,804,66840,1960,4310,NA,13756,1105,115895,208,8,6.74871985220304e-05,0.674871985220304,53072.8,11.8693645109798,1631,30063,8663,845,2626,523
"Mitchell County","Georgia",280,4758,5829,NA,5451,46,12,13,18,22,36,42,0,16,110,110,202,98,63008,6256,196,97,854,288,5687,14,2,0.0003431120260765,3.43112026076514,57084,15.0167047652541,489,13205,921,289,36,27
"Mitchell County","Kansas",543,6658,5829,NA,5451,46,12,13,18,22,36,42,0,16,110,110,202,98,63008,6256,196,97,854,288,5687,14,2,0.0003431120260765,3.43112026076514,55797.6,15.0167047652541,951,20123,291,189,72,50
"Mitchell County","North Carolina",1012,9324,5829,NA,5451,46,12,13,18,22,36,42,0,16,110,110,202,98,63008,6256,196,97,854,288,5687,14,1,0.0001715560130382,1.71556013038257,52948.8,15.0167047652541,1952,37121,867,276,97,53
"Mobile County","Alabama",21,61,413878,NA,234657,605,150071,982,1625,295,8383,416,95,53,5107,767,13940,1071,55352,1348,12565,NA,71353,3600,406199,315,24,5.79881027742475e-05,0.579881027742475,47687.2,17.5660205958163,48,1097,18074,1022,3720,440
"Modoc County","California",141,2313,8651,NA,7196,234,166,29,270,131,123,234,0,19,433,204,463,247,54962,5389,1325,NA,1430,405,8464,55,1,0.0001155935729973,1.15593572997341,73524,16.8950850661626,211,6049,244,102,63,50
"Mohave County","Arizona",89,489,214229,NA,178146,1480,2422,329,4136,526,2313,224,494,135,9613,1297,17105,1650,53592,1874,37218,NA,33597,2039,209848,342,1,4.66790210475706e-06,0.0466790210475705,58064.8,16.0101597346651,105,4015,5778,790,1370,437
"Moniteau County","Missouri",881,8885,15401,NA,14288,125,409,61,39,44,49,33,13,21,226,99,377,92,66792,5991,843,NA,1530,359,14060,64,2,0.0001298616972923,1.29861697292384,52736,10.8819345661451,1552,29135,397,131,97,51
"Monmouth County","New Jersey",1138,9973,643064,NA,504819,2080,42384,1114,2193,971,34800,900,270,65,20446,1774,38152,2303,118527,1903,72419,NA,40595,1953,636657,710,47,7.30875931478049e-05,0.730875931478049,77700.8,6.37627482302087,1788,34025,29719,1483,9162,847
"Monongalia County","West Virginia",1875,17440,105988,NA,93518,387,3660,290,44,42,3583,219,1,3,1029,370,4153,454,60893,2620,2413,NA,20594,1655,99735,273,5,4.71751519039891e-05,0.471751519039891,44173.6,20.6487191056299,3024,54061,17455,741,4828,549
"Monroe County","Florida",220,3464,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,4,2.58359546062278e-05,0.258359546062278,54333.6,10.9050042796751,365,12087,2461,346,612,169
"Monroe County","Georgia",313,5010,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,1,6.45898865155694e-06,0.0645898865155693,57084,10.9050042796751,490,13207,1063,323,340,139
"Monroe County","Illinois",414,5518,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,2,1.29179773031139e-05,0.129179773031139,62746.4,10.9050042796751,663,17133,1038,221,383,172
"Monroe County","Indiana",492,6273,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,6,3.87539319093416e-05,0.387539319093416,53738.4,10.9050042796751,751,18105,28656,883,7196,787
"Monroe County","Kentucky",586,6779,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,1,6.45898865155694e-06,0.0645898865155693,48146.4,10.9050042796751,1080,21171,227,103,26,25
"Monroe County","Michigan",740,8141,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,6,3.87539319093416e-05,0.387539319093416,54804,10.9050042796751,1290,26115,6576,504,1589,275
"Monroe County","Mississippi",916,9056,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,1,6.45898865155694e-06,0.0645898865155693,42388,10.9050042796751,1450,28095,791,230,351,187
"Monroe County","Missouri",863,8780,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,1,6.45898865155694e-06,0.0645898865155693,52736,10.9050042796751,1553,29137,213,88,18,16
"Monroe County","New York",1181,10840,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,35,0.0002260646028044,2.26064602804493,65108.8,10.9050042796751,1857,36055,45056,1336,12831,932
"Monroe County","Ohio",1268,12009,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,2,1.29179773031139e-05,0.129179773031139,53592,10.9050042796751,2100,39111,364,92,38,32
"Monroe County","Pennsylvania",1400,13243,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,5,3.22949432577847e-05,0.322949432577847,58536,10.9050042796751,2290,42089,8074,747,2033,451
"Monroe County","West Virginia",1897,17491,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,1,6.45898865155694e-06,0.0645898865155693,44173.6,10.9050042796751,3025,54063,259,132,11,18
"Monroe County","Wisconsin",1837,17102,154823,NA,142046,595,3322,359,157,58,569,173,12,18,1467,457,7250,727,72573,2027,6134,NA,16690,1561,153049,394,6,3.87539319093416e-05,0.387539319093416,57966.4,10.9050042796751,3090,55081,1076,219,234,71
"Montcalm County","Michigan",747,8185,66901,NA,60361,405,2139,326,182,80,152,89,26,40,646,205,3395,538,61250,2373,2476,NA,7882,736,64105,131,5,7.47372983961376e-05,0.747372983961376,54804,12.2954527727946,1291,26117,1966,283,258,90
"Monterey County","California",98,585,437609,NA,173937,3275,9778,682,3430,713,25927,854,2138,342,174515,4464,47884,2993,91043,1900,261954,NA,51913,3622,421244,599,14,3.19920294143859e-05,0.319920294143859,73524,12.3237363618236,213,6053,25841,1222,5851,587
"Montezuma County","Colorado",171,2715,26070,NA,20452,443,334,256,2882,399,219,52,0,24,574,255,1609,396,61377,5216,3383,NA,3231,694,25754,132,2,7.67165324127349e-05,0.767165324127349,70078.4,12.5456239807409,287,8083,400,149,102,78
"Montgomery County","Alabama",18,53,856399,NA,650218,2072,78309,1384,1420,585,67279,1046,312,187,15619,1823,43242,2393,107441,1366,48524,NA,52365,3151,835381,469,15,1.75152002746383e-05,0.175152002746383,47687.2,6.26839729416877,50,1101,12033,843,4292,685
"Montgomery County","Georgia",329,5128,856399,NA,650218,2072,78309,1384,1420,585,67279,1046,312,187,15619,1823,43242,2393,107441,1366,48524,NA,52365,3151,835381,469,1,1.16768001830922e-06,0.0116768001830922,57084,6.26839729416877,491,13209,770,158,46,28
"Montgomery County","Illinois",453,5891,856399,NA,650218,2072,78309,1384,1420,585,67279,1046,312,187,15619,1823,43242,2393,107441,1366,48524,NA,52365,3151,835381,469,1,1.16768001830922e-06,0.0116768001830922,62746.4,6.26839729416877,664,17135,655,139,166,73
"Montgomery County","Kansas",554,6700,856399,NA,650218,2072,78309,1384,1420,585,67279,1046,312,187,15619,1823,43242,2393,107441,1366,48524,NA,52365,3151,835381,469,1,1.16768001830922e-06,0.0116768001830922,55797.6,6.26839729416877,952,20125,1564,243,241,110
"Montgomery County","Kentucky",610,6871,856399,NA,650218,2072,78309,1384,1420,585,67279,1046,312,187,15619,1823,43242,2393,107441,1366,48524,NA,52365,3151,835381,469,2,2.33536003661845e-06,0.0233536003661844,48146.4,6.26839729416877,1081,21173,503,206,271,129
"Montgomery County","Maryland",679,7542,856399,NA,650218,2072,78309,1384,1420,585,67279,1046,312,187,15619,1823,43242,2393,107441,1366,48524,NA,52365,3151,835381,469,111,0.0001296124820323,1.29612482032324,78768.8,6.26839729416877,1209,24031,48772,2102,20316,1275
"Montgomery County","New York",1205,11008,856399,NA,650218,2072,78309,1384,1420,585,67279,1046,312,187,15619,1823,43242,2393,107441,1366,48524,NA,52365,3151,835381,469,3,3.50304005492767e-06,0.0350304005492766,65108.8,6.26839729416877,1858,36057,1628,260,322,109
